Date,RELIANCE,TCS,BAJAJ,BHARTIARTL,TATASTEEL,HDFC,CIPLA,HAVELLS
23-06-2020,1708.964966,2008.457886,3020.619141,576.728943,316.528534,1037.80835,659.799988,573.746948
22-06-2020,1734.039795,2001.204956,2835.718018,578.970947,310.522125,1024.316772,655.950012,573.349487
19-06-2020,1747.197876,2017.635376,2694.246582,570.451538,305.612091,1028.896851,636.200012,562.864319
18-06-2020,1644.415771,2011.220947,2521.875,558.893066,303.276276,1015.554688,642.049988,545.322998
17-06-2020,1604.146851,2020.793091,2392.134521,561.433899,293.837616,975.03009,640.349976,550.093445
16-06-2020,1606.480469,2018.81958,2361.18457,542.950317,294.552704,986.132019,637.799988,548.75177
15-06-2020,1603.352539,2003.12915,2347.606445,548.729553,291.930847,945.756714,643.650024,538.21698
12-06-2020,1577.781128,2012.602661,2446.197266,558.095886,302.799591,978.514954,643.599976,548.254883
11-06-2020,1527.0354,2040.380981,2335.126709,549.875366,298.556946,964.425903,635,541.844543
10-06-2020,1561.24646,2080.938965,2431.720459,565.070801,308.901337,987.575745,642.950012,554.714844
09-06-2020,1526.489258,2044.723145,2439.657959,565.768311,316.719208,983.045349,640.049988,543.03717
08-06-2020,1558.614868,2044.427246,2503.205078,583.056274,318.053986,1011.522156,635.099976,542.739014
05-06-2020,1570.730225,2021.237061,2386.493896,582.259094,323.154663,1028.896851,650.900024,564.355103
04-06-2020,1568.843506,2063.966064,2309.318604,570.401733,305.0401,997.383301,660.549988,564.007324
03-06-2020,1530.95813,2019.164795,2408.008789,549.676147,302.608887,1017.844788,641.200012,551.932068
02-06-2020,1525.049194,2014.230957,2342.415039,556.103027,304.515686,996.68634,637.599976,545.968933
01-06-2020,1509.805786,2012.36145,2157.364014,557.049622,300.511444,983.39386,642.5,537.024353
29-05-2020,1454.243774,1940.633545,1950.498291,550.622681,281.443451,947.549011,648.150024,493.195801
28-05-2020,1462.039429,1972.069946,1944.557861,560.736389,281.729462,941.176575,628.349976,496.674255
27-05-2020,1435.524658,1973.053833,1933.325928,561.085144,274.531311,899.755859,633.049988,467.753357
26-05-2020,1414.173706,1911.755615,1826.049316,557.248962,267.380829,848.726746,627.700012,457.864624
22-05-2020,1421.621704,1987.861816,1892.242432,591.077454,261.660431,835.235046,639.349976,456.522919
21-05-2020,1431.254395,1959.180542,1986.989258,592.422607,270.47937,855.845886,616.599976,462.98291
20-05-2020,1423.756714,1922.185181,2039.504517,591.924377,270.002655,853.406433,620.650024,466.709808
19-05-2020,1399.128784,1917.314819,1961.780029,596.65741,259.324585,827.070435,594.950012,465.318451
18-05-2020,1430.757813,1914.313721,1935.472534,536.124756,254.176239,833.044617,600.450012,472.821991
15-05-2020,1449.278442,1862.461304,2083.083984,552.11731,260.707031,884.322693,570.299988,483.853638
14-05-2020,1425.991089,1871.759277,2108.592773,537.918335,256.035339,889.848755,569.75,497.866913
13-05-2020,1486.071411,1918.298706,2157.563721,553.960754,263.662537,923.652466,570.200012,508.053802
12-05-2020,1455.197021,1918.151123,2066.361084,557.846741,261.183716,897.664917,570.150024,477.592407
11-05-2020,1551.160767,1904.179565,2011.799194,534.281433,263.328857,911.853455,586.049988,485.443817
08-05-2020,1536.404785,1862.953125,2020.884521,528.153381,260.182617,925.046387,591.900024,484.449982
07-05-2020,1482.446655,1861.231445,2057.22583,526.160583,262.995178,921.013855,589.549988,483.853638
06-05-2020,1436.997803,1872.989136,2102.852051,544.046326,264.806641,942.321655,591.75,505.171631
05-05-2020,1436.899292,1901.670532,1999.119629,526.160583,259.944275,907.522278,596.900024,503.482117
04-05-2020,1411.863281,1899.407349,2076.294922,530.594666,260.850037,919.022461,611.849976,521.619751
30-04-2020,1442.162476,1982.056641,2314.360352,512.459778,284.398987,997.482849,589.599976,560.031921
29-04-2020,1403.747314,1875.006104,2292.745117,494.22525,269.478271,972.889282,596.25,539.508972
28-04-2020,1404.927856,1829.15564,2224.505615,483.912262,260.802338,927.386292,598.599976,529.669922
27-04-2020,1406.501831,1807.066528,2040.752441,492.282227,258.990875,925.693604,608.700012,532.055176
24-04-2020,1393.959106,1789.306885,1973.061768,492.481506,255.081924,934.007568,599.299988,522.365173
23-04-2020,1348.608765,1848.046631,2168.945313,494.22525,257.703796,950.834778,586.700012,527.284668
22-04-2020,1341.427368,1741.045532,2144.784424,499.605927,255.844681,924.598328,587.200012,514.712585
